"county","violent","property"
"05141",4.88888888888889,14.9444444444444
"05143",183.194444444444,472.069444444444
"05145",46.6944444444444,162.763888888889
"05147",0.229166666666667,3.54166666666667
"05149",10.8888888888889,20.6805555555556
"06001",1548.61111111111,5583.94444444444
"06005",38.125,78.1805555555556
"06007",157.263888888889,582.916666666667
"06009",51,83
"06011",21.9583333333333,45.0694444444444
"06013",823.5,3218.36111111111
"06015",34.5972222222222,72.7916666666667
"06017",122.736111111111,287.319444444444
"06019",1256.65277777778,3716.93055555556
"06021",24.2361111111111,69.4722222222222
"06023",137.083333333333,429.736111111111
"06025",130.520833333333,440.041666666667
"06027",15.5,33.125
"06029",640.347222222222,2387.875
"06031",128.611111111111,292.847222222222
"06033",85.9305555555556,151.097222222222
"06035",22.6527777777778,40.8333333333333
"06037",9849.97222222222,27219.9166666667
"06039",145.375,357.125
"06041",139.736111111111,504.694444444444
"06043",16.3333333333333,33.5138888888889
"06045",103.236111111111,176.208333333333
"06047",267.861111111111,787.25
"06049",10.2916666666667,13.1944444444444
"06051",12.125,46
"06053",426.055555555556,1141.08333333333
"06055",133.791666666667,265.111111111111
"06057",55.0277777777778,139.652777777778
"06059",1627.72222222222,6130.16666666667
"06061",181.222222222222,676.833333333333
"06063",17.4861111111111,45.2361111111111
"06065",1699.18055555556,5423.13888888889
"06067",1101.76388888889,5343.36111111111
"06069",49.9027777777778,114.263888888889
"06071",1734.18055555556,5489.81944444444
"06073",2706.80555555556,7550.15277777778
"06077",895.722222222222,2799.11111111111
"06079",184.402777777778,555.166666666667
"06081",475.930555555556,1530.51388888889
"06083",278.416666666667,739.291666666667
"06085",1333.05555555556,3447.51388888889
"06087",239.236111111111,781.805555555556
"06089",239.777777777778,438.666666666667
"06091",2.72222222222222,4.56944444444444
"06093",36.875,84.6805555555556
"06095",410.986111111111,1135.52777777778
"06097",383.208333333333,1087.54166666667
"06099",606.402777777778,2173.11111111111
"06101",87.5,256.111111111111
"06103",87.1527777777778,149.041666666667
"06105",7.80555555555556,19.2638888888889
"06107",395.708333333333,1461.04166666667
"06109",36.0555555555556,117.583333333333
"06111",494.986111111111,1397.94444444444
"06113",150.875,517.597222222222
"06115",69.0833333333333,216.458333333333
"08001",240.652777777778,1294.04166666667
"08005",455.930555555556,1748.22222222222
"08007",8.75,23.625
"08009",0.933333333333333,0.6
"08011",3.33333333333333,7.13333333333333
"08013",121.791666666667,548.569444444444
"08015",10,32.3333333333333
"08017",1.22222222222222,1.66666666666667
"08019",7.72222222222222,20.9722222222222
"08021",NA,NA
"08023",1.91666666666667,3.86111111111111
"08025",1.625,0.222222222222222
"08027",1.375,4.39583333333333
"08029",13.0625,38.0833333333333
"08033",0.736111111111111,2.15277777777778
"08035",20.7916666666667,104.958333333333
"08037",25.625,125.375
"08039",4.9375,9.5625
"08041",393.902777777778,1804.33333333333
"08043",36.8333333333333,76.1333333333333
"08045",24.9444444444444,82.8333333333333
"08047",2.54166666666667,8.63888888888889
"08049",3.83333333333333,29.7777777777778
"08051",7.91666666666667,30.8333333333333
"08055",5.86111111111111,12.0277777777778
"08057",0.8,1.46666666666667
"08059",243.569444444444,1195
"08061",0.416666666666667,0.25
"08063",4.09722222222222,13.0972222222222
"08065",NA,NA
"08067",40.7777777777778,132.194444444444
"08069",171.902777777778,702.666666666667
"08071",6.47916666666667,22.0208333333333
"08073",0.75,2
"08075",9.95833333333333,46.8888888888889
"08077",76.9333333333333,333.883333333333
"08081",14.7777777777778,31.4166666666667
"08083",13.4444444444444,49.6111111111111
"08085",16.2222222222222,67.4861111111111
"08087",16.0208333333333,57.5
"08089",14.9305555555556,39.4166666666667
"08091",0.166666666666667,2.08333333333333
"08093",6.54166666666667,11.25
"08095",0.966666666666667,1.48333333333333
"08097",NA,NA
"08099",4.76388888888889,37.0416666666667
